number,status,sk_description,supplier_number,supplier_description,minimum_po_quantity,purchase_unit,stock_unit,pur_stk_conversion,price_per_stock_unit,price_per_purchase_unit,supplier_id
0001,Active,Sauce BBQ Smoky Cattlemens,,Sauce BBQ Smokey 4-1gl,0,CS,OZ,512,0.0879,45.0048,1
0002,Active,Bailing Wire 12 ga 14,898292,Bailing Wire 12 gauge 14ft,0,BD,EA,125,0,0,2
0003,Active,Blue Ice  Nordic 24oz - 24/Cs,389651,Blue Ice Nordic 24ct,0,CS,EA,24,0,0,2
0004,Active,Tiro Black Ink Fast Dry 48/Cs,IC5033,Tiro Black Ink Fast Dry 48/Cs,0,CS,EA,48,0,0,3
0005,Active,Tiro Character/Number Kit 4ea,TP0130,Tiro Character/Number Kit 4ea,0,BOX,EA,4,0,0,3
0006,Active,Pallet Covers 1 Mill 250/Roll,S-13538,Palette Covers 1 Mill 250/Roll,0,RL,EA,250,0,0,4
0007,Obsolete,Roll Wheat Rustic 130/Cs,26292,Roll Wheat Rustic SBUX,40,CS,EA,130,0.256,33.28,5
0008,Obsolete,Roll White Rustic 130/Cs,26291,Roll White Rustic SBUX,40,CS,EA,130,0.246,31.98,5
0009,Active,Chicken Bnls Wing Breaded,7206,Cntry Style Brst Meat Bnls Wng,0,CS,LB,10,2.41,24.1,6
0010,Obsolete,Egg Patty Frittata Cheese,85429,200-1.75 Oz,0,CS,EA,200,0.2328,46.56,7
0012,Obsolete,Bacon Uncured Slcd 2-150 EA,12604,Bacon Uncured Slcd 2-150 EA,120,CS,EA,300,0.1309,39.27,8
0013,Active,Cheese Cheddar Mild .5oz Slice,33609,8-2 Lb,42,CS,EA,512,0.0814,41.6768,9
0014,Active,Cheese Gouda .5oz Slice,33610,8-2 Lb,0,CS,EA,512,0.0864,44.2368,9
0015,Obsolete,Ham Blk Forest Log Unsliced,4147,4-6 Lb (Catch),1200,LB,LB,1,3.75,3.75,10
0016,Obsolete,Cheese Pepper Jack .5 OZ,60270,8/1.25 Lb,120,CS,EA,320,0.1182,37.824,11
0017,Active,Sausage Patty Pork 1.5 oz Nat,18809,Sausage Patty Pork 1.5 oz Nat,0,CS,EA,426,0.17,72.42,12
0018,Obsolete,Tomato Roma Roasted Diced ,7149602,40 Lb,42,CS,OZ,640,0.1063,68.032,13
0019,Obsolete,Film Polypro Fuji 12 in Web,RKHS010012000500,12 IN 10139 FT/RL  36 RL/PLT,365004,FT,IN,12,0.0006,0.0072,14
0020,Obsolete,Beef Hamburger Patty 2.6oz,United 2.6z Bf Patty,Fully Ckd Beef Patty 2.6z,1,CS,EA,247,0.393,97.071,15
0020,Obsolete,Beef Hamburger Patty 2.6oz,1100XSX,Beef Hamburger Patty 2.6 Oz,64,CS,EA,93,0.393,36.549,16
0021,Obsolete,Box #8 40PK Artisan Plain,10469070,Box #8 40PK Artisan Plain,1,EA,EA,1,0.36,0.36,17
0022,Obsolete,Box #9 12-16 PK Artisan/Muffin,TBD 12-16 PK SBUX,TBD 12-16 PK SBUX,1,EA,EA,1,0.2789,0.2789,17
0023,Obsolete,Box 60 PK Saus Muf Kraft Plain,TBD 60PK Sausage,TBD 60 PK Sausage SBUX,1,EA,EA,1,0,0,17
0024,Obsolete,Film Polypro Fuji 9.5 In Web,Co-Ex OPP 9.5.001 Co-Ex OPP 9.5x10139,No Control,FT,IN,12,,0.0005,0,18
0024,Obsolete,Film Polypro Fuji 9.5 In Web,RKHS010009500500,9.5 IN 10139 FT/RL 45/PAL,456255,FT,IN,12,0.0005,0.006,14
0025,Obsolete,Chutney Mango 4 Lb Sukhis,87502,Chutney Mango 4 Lb Sukhis,1,TB,OZ,64,0.279,17.856,19
0026,Obsolete,Film Lidding Z12 EZ Peel,ESXE1250Z12,Film Lidding Z12 EZ Peel,0,RL,IN,36000,0.0084,302.4,14
0026,Obsolete,Film Lidding Z12 EZ Peel,0026 Film Lidding,Film Lidding 3M Ft/Roll 420 mm,0,RL,IN,36000,0.0084,302.4,20
0027,Obsolete,Cheese Mont Jack Sliced .5 Oz,33611,8-2Lb 64 SL Mont Jack .5 Oz,42,CS,EA,512,0.0853,43.6736,9
0028,Obsolete,Film Polypro Fuji 14.5 in Web,RKHS010014500500,Film Polypro Fuji 14.5 in Web,273753,FT,IN,12,0.0008,0.0096,14
0029,Obsolete,Film Fuji Spec Value Hamburger,0029 Special Value,Film Fuji Spec Value Hamburger,1,RL,IMP,12500,0.0427,533.75,20
0030,Obsolete,Film Fuji Spec Value Saus Chs,0030 Special Value,Film Fuji Spec Value Saus Chs,1,RL,IMP,13333,0.0382,509.3206,20
0031,Obsolete,Bacon Turkey Half Slce Natural,871206,Bacon Turkey Half Slce Natural,1,LB,LB,1,10.69,10.69,21
0032,Obsolete,Egg White Patty 1.75 oz,86529,Egg White Patty 184-1.75 Oz,108,CS,EA,184,0.1393,25.6312,7
0033,Obsolete,Cheese Mild Red Fat Ched Slcd,34038,Cheese Mild Red Fat Ched Slcd,42,CS,EA,384,0.1129,43.3536,9
0034,Obsolete,Egg Insert Folded Egg White,76500,Double Folded Egg White Omelet,0,CS,EA,180,0.1489,26.802,7
0035,Active,Tomato Rstd Diced Rdcd Moist ,16865,BL Tomato 40 Lb SCC,1,CS,OZ,640,0.2999,191.936,22
0036,Obsolete,Box Master Spec Val Hamburger,218205,Special Value Hamburger,1,EA,EA,1,0.3565,0.3565,17
0037,Obsolete,Box Master Spec Val Saus Chs,218206,Special Value Saus Chs,1,EA,EA,1,0.3012,0.3012,17
0039,Active,Pork Rib BBQ With Sauce,774X,Pork Rib BBQ With Sc 64/Cs,0,CS,EA,64,0.5523,35.3472,16
0040,Active,Cheese American Processed .40z,Chateaux 5007,American Rstrctd Melt 4-5 Lb,100,CS,EA,800,0.0436,34.88,23
0040,Active,Cheese American Processed .40z,5007 Chateaux,Cheese American Processed .40z,0,CS,EA,800,0.0436,34.88,24
0041,Obsolete,Box Master Kaiser 36 Ct,Spec 72765,Box Master Kaiser 36 Ct,7800,EA,EA,1,0.4443,0.4443,17
0042,Obsolete,Carton 1PK Turkey Kaiser,Turk 2009-0381-0429,Carton 1PK Turkey Kaiser,20000,EA,EA,1,0.0884,0.0884,17
0043,Obsolete,Carton 1PK Ham/Chs Kaiser, Ham 2009-0381-0429,Carton 1PK Ham/Chs Kaiser,20000,EA,EA,1,0.0884,0.0884,17
0044,Obsolete,Carton 1PK Hamburger,Burgr 2009-0381-0429,Carton 1PK Hamburger,20000,EA,EA,1,0.0884,0.0884,17
0045,Active,Film Tiro OP Ham Wedge Lidding,6221 Oven Pride,Film Tiro OP Ham Wedge Lidding,1,RL,EA,21532,0.0385,828.982,20
0046,Active,Film Tiro OP Turky Wdg Lidding,6220 Oven Pride,Film Tiro OP Turk Wdg Lidding,1,RL,EA,21532,0.0385,828.982,20
0047,Obsolete,Lbl Direct Therml 1-3/8x1-1/16,DT10013 1-3/8x1-1/16,1-3/8x1-1/16 Direct Thermal,1,RL,EA,8000,0,0,25
0048,Active,Glue Cartoning PHC9254,HB Fuller PHC9254,Glue Cartoning PHC9254,22,CS,LB,31,0,0,26
0049,Obsolete,Roll White Rustic 160/Cs,36296,Roll White Rustic SBUX 160/Cs,40,CS,EA,160,0.2395,38.32,5
0050,Obsolete,Ribbon Black VideoJet iimak,25TT4BK15VJI,Ribbon Black Videojet iimak,1,CS,FT,35433,0.0129,457.0857,14
0051,Obsolete,Ribbon Blue VideoJet iimak,25TT4BL15VJI,Ribbon Blue Videojet iimak,1,CS,FT,35433,0.0247,875.1951,14
0052,Obsolete,Ribbon Green VideoJet iimak,25TT4GR15VJI,Ribbon Green Videojet iimak,1,CS,FT,35433,0.0247,875.1951,14
0053,Obsolete,Ribbon Orange VideoJet iimak,25TT4OR15VJI,Ribbon Orange Videojet iimak,1,CS,FT,35433,0.0247,875.1951,14
0054,Obsolete,Ribbon Red VideoJet iimak,25TT4RD15VJI,Ribbon Red Videojet iimak,1,CS,FT,35433,0.0247,875.1951,14
0055,In Development,Beef Hamburger Patty 1 Oz,102,Old Fashioned Mini Bf Patties,1,CS,EA,240,0.2106,50.544,16
0056,Active,Chicken Breast Bnls Ckd 4 Oz,702708,Chicken Breast Bnls Ckd 4 Oz,0,CS,EA,120,0.8925,107.1,27
0057,Active,Bun Kaiser WW 6-12 Pk,5015 SK,Bun Kaiser WW 6-12 Pk,0,CS,EA,72,0.16,11.52,28
0058,Active,Baguette Big Hole 32/Cs,80302855,French HD Baguette Big Hole,1,CS,EA,32,0.3672,11.7504,29
0060,Obsolete,Film Lidding Z14 EZ Peel,ESXE1270Z14,Film Lidding Z-14 E-Z Peel,90,RL,IN,35984,0.0086,309.4624,14
0061,Active,Box Master #1 Kraft Plain,1.02189E+11,Box #1 Kraft Plain 1050/Plt,0,EA,EA,1,0.326,0.326,17
0062,Active,Susceptor Sleeve Baguetta,8480V1,SBS/Adhesive/48 Gauge MPET,10000,EA,EA,1,0.0871,0.0871,30
0063,Obsolete,Insert RF Cheese Egg Bacon IQF,4610033532,IQF RF Cheese Egg Bacon Sticks,1,EA,EA,1,0.5794,0.5794,31
0064,Active,Film Fuji PP Cheeseburger,C100064 OP,Film Fuji P/P Cheeseburger,100,LB,IN,1689.600912,0.0035,5.913603192,20
0065,Obsolete,Insert Cheeseburger IQF,4610033533,IQF Cheeseburger Stick,1,EA,EA,1,0.6267,0.6267,31
0066,Obsolete,Insert Polish Saus Smkd Sknls,114918,Polish Sausage Skinless 5-1,1,CS,EA,50,0.39,19.5,32
0067,Not Stocked,Ribbon Black Wax 4x1181,JETWAX400,Ribbon Black Wax 4x1181,1,CS,RL,24,16.15,387.6,25
0068,Obsolete,Roll White Rustic 180/Cs,36300,Roll White Rustic SBUX 180/Cs,1,CS,EA,180,0.1919,34.542,5
0069,Active,Film Fuji Polish Baguetta,69,Film Fuji Polish Baguetta,1,IMP,IMP,1,0.0426,0.0426,20
0070,Active,Film Fuji Bacon Chs Baguetta,70,Film Fuji Bacon Chs Baguetta,1,IMP,IMP,1,0.0426,0.0426,20
0071,Active,Film Fuji Cheesy Beef Baguetta,71,Film Fuji Chsburger Baguetta,1,IMP,IMP,1,0.0426,0.0426,20
0072,Obsolete,Box Master Baguetta 24 Pk,Baguetta Master,Box Master Baguetta 24 Pk,1,EA,EA,1,0.4223,0.4223,17
0073,Active,Cheese RF Mild Chdr Orng .5 Oz,34105,RF Mild Ched C .5z Rpd Pk,42,CS,EA,512,0.1018,52.1216,9
0074,Active,Cheese RF Mild Chdr Wht .5 Oz,34106,RF Mild Ched W .5z Rpd Pk,42,CS,EA,512,0.0932,47.7184,9
0075,Obsolete,Egg Frittata Patty 2 Oz,85430,Egg Frittata Patty 2 oz,70,CS,EA,140,0.3363,47.082,7
0076,Active,Sausage Patty Turkey 1.5 Oz,71105 Ember,Sausage Patty Turkey 1.5 Oz,1,CS,EA,106,0.2038,21.6028,33
0077,Active,Sausage Pork Link .5 Oz,160063,FC Pork Sausage Link Sknls .5z,1,CS,EA,320,0.0583,18.656,32
0078,Active,Potato Diced Brkfst Cube,MCS302,Diced Hashbrowns Potato Grd A,1,CS,OZ,480,0.0482,23.136,34
0079,Active,Egg Curds IQF Large Cut,MF 3015,Egg Curd Frozen IQF Scrambled,1,CS,OZ,320,0.0756,24.192,35
0080,Active,Bacon Topping Preckd 1/2 Inch,12003,1/2x1/2 Preckd Bacon Topping,1,CS,OZ,160,0.283,45.28,8
0081,Active,Pancake Maple Krusteaz 240Ct,80327,240Ct Krusteaz Maple Pancakes,1,CS,EA,240,0.1659,39.816,36
0082,Active,Cheese Ched Shred Red Sodium,Chateaux 2223,Red Sodium Cheddar Shred,1,LB,OZ,16,0.1495,2.392,23
0082,Active,Cheese Ched Shred Red Sodium,Chateaux 2223,Cheese Ched Shred Red Sodium,0,LB,OZ,16,0.1495,2.392,24
0083,Obsolete,Film Map Pillow 9 Mil,3MB225M,Film Map Pillow 9 Mil,1,RL,IN,14410,0.0166,239.206,14
0084,Active,Tray Entree Black CPET 16 Oz,10165090,GPC-5066-16 Tray 16z Blk CPET,1,CS,EA,600,0.1192,71.52,17
0085,Active,Ctn Entree Saus Pancake,10492607,Carton Pancake Sausage,1,EA,EA,1,0.119,0.119,17
0086,Active,Ctn Entree Saus Eggs Potato,10492604,Carton Sausage Scramble,1,EA,EA,1,0.119,0.119,17
0087,Active,Ctn Entree Bacon Eggs Pot,10492605,Carton Bacon Scramble,1,EA,EA,1,0.119,0.119,17
0088,Active,Box Master Brkfst Entree 18Pk,10492621,Box Master Brkfst Entree 18Pk,1,EA,EA,1,0.3261,0.3261,17
0089,Obsolete,Tomato Green Mix Blend IQF,16874,Tomato Green Mix Blend IQF,1,CS,OZ,540.8,0.2841,153.64128,22
0090,Active,Box Master SBUX Muffin/Wrap,SBUX Muffin/Wrap,Box Master SBUX Muffin/Wrap,0,EA,EA,1,0.294,0.294,37
0090,Active,Box Master SBUX Muffin/Wrap,1182174,Box Master SBUX Muffin/Wrap,1,EA,EA,1,0.294,0.294,38
0090,Active,Box Master SBUX Muffin/Wrap,10551401,Box Master SBUX Muffin/Wrap,0,EA,EA,1,0.294,0.294,17
0091,Active,Box Master SBUX Artisan,1183825,Box Master SBUX Artisan,1,EA,EA,1,0.279,0.279,38
0091,Active,Box Master SBUX Artisan,10551399,Box Master SBUX Artisan,0,EA,EA,1,0.279,0.279,17
0091,Active,Box Master SBUX Artisan,SBUX Artisan,Box Master SBUX Artisan,0,EA,EA,1,0.279,0.279,37
0092,Obsolete,Egg Dbl Folded Scrmbld 1.5 Oz,86530,Egg Dbl Folded Scrmbld 1.5 Oz,1,CS,EA,200,0.1409,28.18,7
0093,Active,Flat Whole Wht Wrap Red Sodium,5400709-0612,Flat Whole Wht Wrap Red Sodium,1,CS,EA,72,0.2023,14.5656,39
0094,Obsolete,Beans Black IQF,BLB-BLCK-0020,IQF Black Beans,1,CS,OZ,720,0.06,43.2,40
0095,Obsolete,Cheese Shred Ched/PepJk,54228,Chs Fthr Shred Ched/PepJk,1,CS,OZ,320,0.1242,39.744,9
0096,Obsolete,Biscuit Cinnamon .9 Oz,898,.9 Oz Sthrn Style Cinn Biscuit,1,CS,EA,240,0.0675,16.2,41
0097,Active,French Toast 1 Oz,MF8008,Texas Style French Toast,1,CS,EA,192,0.0819,15.7248,35
0098,Active,Pancakes Mini Dippers,MF7104,Pancakes Mini .4 Oz,1,CS,EA,480,0.0318,15.264,35
0099,Obsolete,Syrup Cup 1 Oz Dipper,472104,Syrup Cup 1 Oz Dipper,0,CS,EA,200,0.12,24,42
0099,Obsolete,Syrup Cup 1 Oz Dipper,J97120,Mrs Butterworths Syrup Cup 1z,1,CS,EA,200,0.12,24,43
0100,Obsolete,Icing Cup Dippers 1Oz,9011301,Icing Cup Dippers 1Oz,1,CS,EA,200,0.16,32,44
0101,Active,Waffles Homestyle Minis 1 Oz,17514,EGGO Homestyle Minis 1 Oz,1,CS,EA,120,0.0904,10.848,45
0102,Active,Ctn Dipper Cinnamon Biscuit,10492613,Carton Dipper Cinnamon Biscuit,1,EA,EA,1,0.0778,0.0778,17
0103,Obsolete,Carton Dipper French Toast,Dipper02,Carton Dipper French Toast,1,EA,EA,1,0.0778,0.0778,17
0104,Obsolete,Carton Dipper Mini Pancakes,Dipper03,Carton Dipper Mini Pancakes,1,EA,EA,1,0.0778,0.0778,17
0106,Active,Ctn Dipper Mini Waffles,Dipper04,Carton Dipper Mini Waffles,1,EA,EA,1,0.0778,0.0778,17
0107,Active,Film Map Rigid 14 Mil,PVCEVE 30050 R,Film Map Rigid 14 Mil,1,RL,IN,5984,0.042,251.328,14
0108,Active,Lbl OP 3-5/8x3 ,P2069358100 040,Label OP 3-5/8x3,0,CS,EA,8000,0.0245,196,25
0110,Obsolete,Egg Frittata Round Patty 2 oz,85066,Egg Frittata Round Patty 2 oz,70,CS,EA,140,0.335,46.9,7
0112,Obsolete,Egg Perfecta Patty,MF4008M,Egg Perfecta Patty 160 Ea,0,CS,EA,160,0.1528,24.448,35
0113,Active,Film Tiro OP Ham Chs TriWdg,0113 OP H C Tri Wdg,Film Tiro OP Ham Chs TriWdg,0,RL,EA,15603,0.0437,681.8511,20
0114,Active,Film Tiro OP Egg Salad TriWdg,0114 OP Egg Tri Wdg,Film Tiro OP Egg Salad TriWdg,0,RL,EA,15603,0.0437,681.8511,20
0115,Active,Film Tiro OP Chix Sal TriWdg,OP Chix Tri Wdg,Film Tiro OP Chix Sal TriWdg,0,RL,EA,15603,0.0437,681.8511,20
0116,Active,Film Tiro OP Tuna Sal TriWdg,OP Tuna Tri Wdg,Film Tiro OP Tuna Sal TriWdg,0,RL,EA,15603,0.0437,681.8511,20
0117,Active,Film Tiro OP Trky Chs TriWdg,OP Trky Chs Tri Wdg,Film Tiro OP Trky Chs TriWdg,0,RL,EA,15603,0.0437,681.8511,20
0118,Active,Film Tiro OP Ham Chs DblWdg,0118 OP H C Dbl Wdg,Film Tiro OP Ham Chs DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0119,Active,Film Tiro OP Egg Salad DblWdg,0119 OP ES Dbl Wdg,Film Tiro OP Egg Salad DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0120,Active,Film Tiro OP Tuna Salad DblWdg,0120 OP TS Dbl Wdg,Film Tiro OP Tuna Salad DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0121,Active,Film Tiro OP Chix Salad DblWdg,0121 OP CS Dbl Wdg,Film Tiro OP Chix Salad DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0122,Active,Film Tiro OP Ham Tky Sw DblWdg,0122 OP HTSw Dbl Wdg,Film Tiro OP Ham Tky Sw DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0123,Active,Film Tiro OP Trky Chs DblWdg,0123 OP TChs Dbl Wdg,Film Tiro OP Trky Chs DblWdg,0,RL,EA,15603,0.0437,681.8511,20
0124,Active,Film Tiro OP Trky Chs Hoagie,0124 OP TC Hoagie,Film Tiro OP Trky Chs Hoagie,0,RL,EA,15603,0.0437,681.8511,20
0125,Active,Film Tiro OP Ham Trky Hoagie,0125 OP H T Hoagie,Film Tiro OP Ham Trky Hoagie,0,RL,EA,15603,0.0437,681.8511,20
0126,Active,Film Tiro OP Ham Cheese Hoagie,0126 OP H C Hoagie,Film Tiro OP Ham Chs Hoagie,0,RL,EA,15603,0.0437,681.8511,20
0127,Active,Film Tiro KS OP Turkey Cheese,0127 OP KS Trky Chs,Film Tiro KS OP Turkey Cheese,0,RL,EA,10766,0.068,732.088,20
0128,Active,Film Tiro KS OP Ham Cheese,0128 OP KS Ham Chs,Film Tiro KS OP Ham Cheese,0,RL,EA,10766,0.068,732.088,20
0129,Active,Film Tiro KS OP Italian,0129 OP KS Italian,Film Tiro KS OP Italian,0,RL,EA,10766,0.068,732.088,20
0130,Active,Sausage Patty Pork 1.2 Oz,18804,Sausage Patty Pork 1.2 Oz,1,CS,EA,133,0.1579,21.0007,12
0131,Active,Egg Patty Scrambled 3in 1Oz,70022,Egg Patty Scrambled 3in 1Oz,1,CS,EA,360,0.0889,32.004,7
0132,Obsolete,Biscuit Buttermilk 2 Oz Sliced,3219,Biscuit Buttermilk 2 Oz Sliced,1,CS,EA,120,0.1234,14.808,41
0133,Active,Ctn 4 Pk WF Sausage Biscuit,10495876,Carton 4 Pk WF Sausage Biscuit,1,EA,EA,1,0.178,0.178,17
0134,Active,Ctn 4 Pk WF Bacon Biscuit,10495874,Carton 4 Pk WF Bacon Biscuit,1,EA,EA,1,0.178,0.178,17
0135,Active,Ctn 4 Pk WF CanBac Muffin,10495875,Carton 4 Pk WF CanBac Muffin,1,EA,EA,1,0.178,0.178,17
0136,Active,Ctn 4 Pk WF Sausage Muffin,10495873,Carton 4 Pk WF Sausage Muffin,1,EA,EA,1,0.178,0.178,17
0137,Active,Bacon Round Fully Cooked,36158,Fast N Easy Round Bacon,1,CS,EA,288,0.14,40.32,46
0137,Active,Bacon Round Fully Cooked,1252766,Bacon Rnd Fully Ckd Hormel,1,CS,EA,288,0.14,40.32,1
0138,Active,English Muffin 2 Oz Sliced,7777,English Muffin Plain Slice 2Oz,1,CS,EA,144,0.1182,17.0208,47
0139,Active,Bacon Canadian Log 4/Cs,400112,Fully Cooked Canadian Bacon WA,0,LB,LB,1,3.73,3.73,48
0140,Active,Box Master WF Saus Bisc 4-12Pk,10495885,Box Master WF Saus Bisc 4-12Pk,1,EA,EA,1,0.561,0.561,17
0141,Active,Box Master WF Bacn Bisc 4-12Pk,10495882,Box Master WF Bacn Bisc 4-12Pk,1,EA,EA,1,0.561,0.561,17
0142,Active,Box Master WF CnBac Muf 4-12Pk,10495884,Box Master WF CnBac Muf 4-12Pk,1,EA,EA,1,0.561,0.561,17
0143,Active,Box Master WF Saus Muf 4-12Pk,10495881,Box Master WF Saus Muf 4-12Pk,1,EA,EA,1,0.561,0.561,17
0144,Active,Box Master OP Brk Entree 24Pk,Master OP BEntree 24,Box Master OP Brk Entree 24Pk,1,EA,EA,1,0.4647,0.4647,17
0145,Obsolete,Cheese Cheddar Med 6-5Lb,06501-6,Medium Cheddar Loaf 6-5 Lb,1,CS,LB,30,2.2507,67.521,49
0146,Obsolete,Carton Wellshire Chix Bisc 2Pk,10499497,Carton Wellshire Chix Bisc 2Pk,1,EA,EA,1,0.1878,0.1878,17
