number,description,category,status,case_pack,case_weight,case_weight_unit,usda_bug_required,purchase_to_stock_conversion,purchase_unit,stock_unit,customer_id,supplier_id
0350,Roll Focaccia Panini,BR,Active,100,18.2,LBS,No,100,CS,EA,10000,361
0351,Ham Blk Frst Log Unslcd Panini,PR,Obsolete,,31,LBS,No,1,LB,LB,10000,362
0352,Spread Pesto No Nut ,SA,Active,480,32,LBS,No,480,PL,OZ,10000,363
0355,Cheese Mozzarella 1.3 Oz,DA,Active,222,18.85,LBS,No,222,CS,EA,10000,366
0354,Flatbread Grilled 6x6 3 Oz,BR,Obsolete,120,25.17,LBS,No,120,CS,EA,10000,365
0356,Cheese Swiss Sliced .75 Oz,DA,Active,396,19.5,LBS,No,396,CS,EA,10000,367
0357,Cheese Pepper Jack .75 Oz,DA,Active,396,19.8,LBS,No,396,CS,EA,10000,368
0358,Chicken Artisan Rst Slcng Log,PR,Active,39,42,LBS,No,1,LB,LB,10000,369
0365,Ham Log Cured 3.5 Inch SBUX,PR,Active,48,49.84,LBS,No,1,LB,LB,10000,377
0359,Spread Cream Chs Green Chili,SA,Active,480,31.03,LBS,No,480,CS,OZ,10000,370
0367,Butter French Herb .4 Oz,SA,Obsolete,1,25,LBS,No,1,EA,EA,10000,379
0369,Squash ButtrNut IQF 3/4in Dice,VE,Obsolete,800,55,LBS,No,800,CS,OZ,10000,381
0370,Asparagus Tips IQF Roasted 1in,VE,Obsolete,800,55,LBS,No,800,CS,OZ,10000,382
0374,Lbl Saus Scramble Bowl Lid,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,386
0375,Lbl Bacon Scramble Bowl Lid,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,387
0376,Lbl Chckn Teriyaki Bowl Lid,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,388
0366,Egg Patty Ham&Ched 4 Oz CF,PR,Obsolete,72,19,LBS,No,72,CS,EA,10000,378
0377,Lbl Saus Scramble Bowl Bottom,PK,Active,2000,35.05,LBS,No,2000,RL,EA,10000,389
0368,Apple Wedge Roasted Simplot,VE,Obsolete,240,16.25,LBS,No,240,CS,OZ,10000,380
0378,Lbl Bacon Scramble Bowl Bottom,PK,Active,2000,35.05,LBS,No,2000,RL,EA,10000,390
0379,Lbl Chckn Teriyaki Bowl Bottom,PK,Active,2000,35.05,LBS,No,2000,RL,EA,10000,391
0371,Sweet Potato Medley Roasted,VE,Active,240,17,LBS,No,240,CS,OZ,10000,383
0372,Bowl Round Anchor 12 Oz,PK,Active,500,16.1,LBS,No,500,CS,EA,10000,384
0373,Lid Round Anchor 12 Oz,PK,Active,500,9.75,LBS,No,500,CS,EA,10000,385
0380,Box Master Cash n Carry 12 Pk,PK,Active,26,9.9,LBS,No,1,EA,EA,10000,392
0381,Lbl Master C&C Saus Croiss 5x7,PK,Active,850,12.55,LBS,No,850,RL,EA,10000,393
0382,Lbl Master C&C Saus Muffin 5x7,PK,Active,850,12.55,LBS,No,850,RL,EA,10000,394
0383,Lbl Master C&C Bacon Bisc 5x7,PK,Active,850,12.55,LBS,No,850,RL,EA,10000,395
0384,Ham Log Cured 6 Inch SBUX,PR,Active,1,37.84,LBS,No,1,LB,LB,10000,396
0386,Tomatoes Roasted Wedges in Oil,SA,Active,400,25,LBS,No,400,CS,OZ,10000,398
0387,Potato Popcorn 6-5 Lb,VE,Active,480,30,LBS,No,480,CS,OZ,10000,399
0388,Bowl Round Sabert 5in 12 Oz,PK,Active,500,14.33,LBS,No,500,CS,EA,10000,400
0389,Lid Round Sabert for 0388,PK,Active,500,8.67,LBS,No,500,CS,EA,10000,401
0391,Lbl OP Bcn Scramble Bowl Lid,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,403
0392,Lbl OP Bcn Scramble Bowl Btm,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,404
0385,Box Master WF 6-4PK HCC,PK,Active,25,13.25,LBS,No,1,EA,EA,10000,397
0393,Lbl OP Chicken Teri Bowl Lid,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,405
0394,Lbl OP Chick Teri Bowl Btm,PK,Active,1000,35.05,LBS,No,1000,RL,EA,10000,406
0403,Ctn PrcChop SECB 4 Pk Zipper,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,415
0404,Ctn PrcChop SECC 4 Pk Zipper,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,416
0390,Box Master OP Scramble Bowls,PK,Active,27,9.9,LBS,No,1,EA,EA,10000,402
0405,Ctn PrcChop Panini Chick Club,PK,Active,350,29.24,LBS,No,1,EA,EA,10000,417
0406,Ctn PrcChop Panini Chik Philly,PK,Active,350,29.24,LBS,No,1,EA,EA,10000,418
0407,Ctn PrcChop Panini Chik Spin,PK,Active,350,29.24,LBS,No,1,EA,EA,10000,419
0408,Ctn PrcChop Panini Philly Stk,PK,Active,350,29.24,LBS,No,1,EA,EA,10000,420
0420,Pepper Bell Yellow Rstd IQF,VE,Active,720,45,LBS,No,720,CS,OZ,10000,431
0431,Turkey Breast Uncured Smoked,PR,Active,19,19,LBS,No,1,LB,LB,10000,441
0522,Film Tiro Vienna Beef Hot Dog,PK,Active,15603,52.15,LBS,No,15603,RL,IMP,10000,533
0557,Film Fuji PP DBL CheeseBurger,PK,Active,1560,55.2,LBS,No,1560.000842,LB,IN,10000,536
0561,Film Fuji PP Hickory Rib 15 in,PK,Active,2179,55,LBS,No,2179,LB,IN,10000,539
0579,Cheese Cheddar Sharp Sliced,DA,Obsolete,384,12.9,LBS,No,384,CS,EA,10000,541
0401,Film BOPP Fuji 16 in Web,PK,Active,1,61.2,LBS,No,12,FT,IN,10000,413
0402,Ctn PrcChop BECB 4 Pk Zipper,PK,Active,360,47.3,LBS,No,1,EA,EA,10000,414
0628,Beef Hamburger Patty 2 oz,PR,Active,320,40,LBS,No,320,CS,EA,10000,542
0636,Cheese Swiss Economy Loaf,DA,Active,17,18.2,LBS,No,17,CS,LB,10000,543
1701,Bun Sourdough Dip Pill,BR,Active,72,17.3,LBS,No,72,CS,EA,10000,
1601,Kaiser Vegan 4 In 16-6 Ea,BR,Obsolete,96,19.8,LBS,No,96,CS,EA,10000,
1684,Muffin English Plain 2.15 oz,BR,Obsolete,144,24,LBS,No,144,CS,EA,10000,
1685,Roll Pioneer 6 in 12-6 Ea,BR,Active,72,15.7,LBS,No,72,CS,EA,10000,
0409,Ctn PrcChop Bowl BEC 8 Oz,PK,Active,325,27.45,LBS,No,1,EA,EA,10000,421
0411,Ctn PrcChop Bowl HECP 8 Oz,PK,Active,325,27.45,LBS,No,1,EA,EA,10000,422
0412,Ctn PrcChop Bowl CECP 8 Oz,PK,Active,325,27.45,LBS,No,1,EA,EA,10000,423
1686,Roll Sub Hinged 11in 6-6 ea,BR,Active,36,17.5,LBS,No,36,CS,EA,10000,
1688,Kaiser Plain 4 in 12-6 Ea,BR,Active,72,11,LBS,No,72,CS,EA,10000,
0415,Ctn 2x2PK BacEggChsBisc Meijer,PK,Active,300,31,LBS,No,1,EA,EA,10000,426
0416,Ctn 2x2PK SauEggChsCroi Meijer,PK,Active,300,31,LBS,No,1,EA,EA,10000,427
0417,Ctn 2x2PK SauEggChsMuff Meijer,PK,Active,300,31,LBS,No,1,EA,EA,10000,428
0418,Ctn 2x2PK SauEggChsBisc Meijer,PK,Active,300,31,LBS,No,1,EA,EA,10000,429
0419,Sausage Italian Chick Crumble,PR,Active,30,32,LBS,No,30,CS,LB,10000,430
1690,Bun Hamburger Sesame 4 IN ,BR,Active,72,14.7,LBS,No,72,CS,EA,10000,
1693,Loaf Pullman Wheat 5/8in Slced,BR,Active,228,21,LBS,No,228,CS,EA,10000,
0422,Egg CF LS Insrt Fold Egg White,PR,Active,180,20.225,LBS,No,180,CS,EA,10000,433
0423,Zucchini Diced Rstd IQF,VE,Active,640,42,LBS,No,640,CS,OZ,10000,434
1695,Loaf Pullman White 5/8 in SL,BR,Active,228,21.5,LBS,No,228,CS,EA,10000,
1696,Loaf Pullman White 3/4 In,BR,Active,192,20.4,LBS,No,192,CS,EA,10000,
0426,Spread Cream Cheese Fig,SA,Active,480,31.03,LBS,No,480,CS,OZ,10000,436
0427,Egg LS Patty Scrambled 1.67 oz,PR,Active,168,18.635,LBS,No,168,CS,EA,10000,437
0428,Chicken Seas Ckd Strips,PR,Active,30,32,LBS,No,30,CS,LB,10000,438
0429,Flatbread Flax Rollup Perf,BR,Active,72,10,LBS,No,72,CS,EA,10000,439
0430,Flatbread Garden Rollup Perf,BR,Active,72,10,LBS,No,72,CS,EA,10000,440
1699,Bun Hamburger Sesame,BR,Active,72,14.7,LBS,No,72,CS,EA,10000,
0432,Onion Sliced Balsamico,VE,Active,528.6,39.5,LBS,No,528.6,CS,OZ,10000,442
0433,Egg LS Patty Frittata Cheese,PR,Active,200,23.4,LBS,No,200,CS,EA,10000,443
0434,Egg LS Frittata Chs&Veg 1.75Z,PR,Active,200,22.7,LBS,No,200,CS,EA,10000,444
1703,Bun Steak Sliced 6 in ,BR,Active,72,18.5,LBS,No,72,CS,EA,10000,
0436,Thai Sweet Chili Sauce,SA,Active,468,34.326,LBS,No,468,CS,OZ,10000,446
0437,Bamboo Shoot Strips,VE,Active,618,43,LBS,No,618,CS,OZ,10000,447
0438,Carrot Strips Julienne,VE,Active,528,39,LBS,No,528,CS,OZ,10000,448
0439,Cheese Mont Jack Slcd .67 Oz,DA,Active,648,28,LBS,No,648,CS,EA,10000,449
0440,Dairy Base Bulk,SA,Active,480,31.03,LBS,No,480,CS,OZ,10000,450
0441,Loaf Pullman Cinnamon Raisin,BR,Active,280,24.2916,LBS,No,280,CS,EA,10000,451
1796,Bagel Plain NY Style,BR,Active,60,18.1,LBS,No,60,CS,EA,10000,
1798,Roll Hoagie Sesame Seeded 6in,BR,Active,72,18.4,LBS,No,72,CS,EA,10000,
0444,Cheese Pepperjack Slcd .75 Oz,DA,Obsolete,512,25.5,LBS,No,512,CS,EA,10000,453
0445,Spread Hummus,SA,Active,576,38,LBS,No,576,CS,OZ,10000,454
